radius,bw,k_local,k_season,tau_days,eligible,nights_scored,median_error_min,mean_error_min,within_30m_hits,within_30m_rate,within_60m_hits,within_60m_rate,within_90m_hits,within_90m_rate,within_120m_hits,within_120m_rate,selection_score
3000,1.5,5,10,,98,29,84.0,113.0,19,0.19387755102040816,36,0.3673469387755102,53,0.5408163265306123,61,0.6224489795918368,3.4649659863945583
3000,2.0,2,5,,98,29,85.5,111.12244897959184,19,0.19387755102040816,35,0.35714285714285715,53,0.5408163265306123,64,0.6530612244897959,3.4628826530612247
3000,1.5,5,10,120.0,98,29,79.5,109.93877551020408,16,0.16326530612244897,37,0.37755102040816324,55,0.5612244897959183,65,0.6632653061224489,3.4610119047619046
3000,1.5,5,20,120.0,98,29,79.5,109.93877551020408,16,0.16326530612244897,37,0.37755102040816324,55,0.5612244897959183,65,0.6632653061224489,3.4610119047619046
3000,2.0,10,10,,98,29,88.5,108.79591836734694,18,0.1836734693877551,38,0.3877551020408163,50,0.5102040816326531,65,0.6632653061224489,3.458715986394558
3000,2.0,10,20,,98,29,88.5,108.79591836734694,18,0.1836734693877551,38,0.3877551020408163,50,0.5102040816326531,65,0.6632653061224489,3.458715986394558
3000,1.5,10,10,120.0,98,29,87.0,108.81632653061224,19,0.19387755102040816,36,0.3673469387755102,51,0.5204081632653061,64,0.6530612244897959,3.450595238095238
3000,2.0,2,10,,98,29,86.5,111.42857142857143,19,0.19387755102040816,35,0.35714285714285715,52,0.5306122448979592,64,0.6530612244897959,3.441085600907029
3000,2.0,2,20,,98,29,86.5,111.42857142857143,19,0.19387755102040816,35,0.35714285714285715,52,0.5306122448979592,64,0.6530612244897959,3.441085600907029
1000,2.0,10,10,240.0,98,29,87.0,104.34693877551021,21,0.21428571428571427,33,0.336734693877551,51,0.5204081632653061,64,0.6530612244897959,3.440391156462585
3000,2.0,10,5,,98,29,88.5,108.79591836734694,18,0.1836734693877551,37,0.37755102040816324,50,0.5102040816326531,65,0.6632653061224489,3.4281037414965985
3000,1.5,10,5,120.0,98,29,87.0,109.12244897959184,18,0.1836734693877551,36,0.3673469387755102,52,0.5306122448979592,63,0.6428571428571429,3.419982993197279
1000,2.0,10,20,240.0,98,29,87.0,105.46938775510205,21,0.21428571428571427,32,0.32653061224489793,51,0.5204081632653061,63,0.6428571428571429,3.399574829931973
3000,2.0,5,5,,98,29,86.0,110.04081632653062,17,0.17346938775510204,35,0.35714285714285715,53,0.5408163265306123,65,0.6632653061224489,3.390759637188209
3000,1.5,10,5,240.0,98,29,88.5,110.65306122448979,18,0.1836734693877551,35,0.35714285714285715,51,0.5204081632653061,64,0.6530612244897959,3.377083333333333
3000,1.5,2,5,120.0,98,29,85.5,112.85714285714286,15,0.15306122448979592,36,0.3673469387755102,54,0.5510204081632653,65,0.6632653061224489,3.360841836734694
3000,2.0,5,10,,98,29,86.0,110.34693877551021,16,0.16326530612244897,35,0.35714285714285715,53,0.5408163265306123,65,0.6632653061224489,3.349943310657596
3000,1.5,10,5,,98,29,90.0,112.81632653061224,18,0.1836734693877551,35,0.35714285714285715,50,0.5102040816326531,63,0.6428571428571429,3.344387755102041
2000,2.0,10,20,120.0,98,29,91.0,108.95918367346938,19,0.19387755102040816,34,0.3469387755102041,49,0.5,64,0.6530612244897959,3.3429988662131516
3000,1.5,2,10,120.0,98,29,85.5,113.16326530612245,15,0.15306122448979592,35,0.35714285714285715,54,0.5510204081632653,65,0.6632653061224489,3.330229591836735
3000,1.5,2,20,120.0,98,29,85.5,113.16326530612245,15,0.15306122448979592,35,0.35714285714285715,54,0.5510204081632653,65,0.6632653061224489,3.330229591836735
3000,1.5,2,10,,98,29,87.0,115.44897959183673,17,0.17346938775510204,36,0.3673469387755102,50,0.5102040816326531,62,0.6326530612244898,3.3281462585034016
3000,1.5,2,20,,98,29,87.0,115.44897959183673,17,0.17346938775510204,36,0.3673469387755102,50,0.5102040816326531,62,0.6326530612244898,3.3281462585034016
3000,2.0,5,20,,98,29,87.0,110.65306122448979,16,0.16326530612244897,35,0.35714285714285715,52,0.5306122448979592,65,0.6632653061224489,3.3281462585034016
3000,1.5,10,20,,98,29,88.5,112.91836734693878,17,0.17346938775510204,35,0.35714285714285715,51,0.5204081632653061,63,0.6428571428571429,3.326062925170068
2000,1.5,2,5,120.0,98,29,86.0,112.79591836734694,13,0.1326530612244898,38,0.3877551020408163,54,0.5510204081632653,63,0.6428571428571429,3.319331065759637
2000,2.0,10,5,120.0,98,29,91.0,108.89795918367346,19,0.19387755102040816,33,0.336734693877551,49,0.5,64,0.6530612244897959,3.3123866213151922
2000,2.0,10,10,120.0,98,29,91.0,109.20408163265306,19,0.19387755102040816,33,0.336734693877551,49,0.5,64,0.6530612244897959,3.3123866213151922
2000,2.0,5,5,120.0,98,29,85.0,107.89795918367346,15,0.15306122448979592,33,0.336734693877551,56,0.5714285714285714,65,0.6632653061224489,3.3105158730158735
2000,2.0,5,10,120.0,98,29,85.0,107.89795918367346,15,0.15306122448979592,33,0.336734693877551,56,0.5714285714285714,65,0.6632653061224489,3.3105158730158735
3000,1.0,10,20,120.0,98,29,83.0,113.59183673469387,15,0.15306122448979592,35,0.35714285714285715,53,0.5408163265306123,63,0.6428571428571429,3.292885487528345
2000,1.5,2,10,120.0,98,29,86.0,113.10204081632654,13,0.1326530612244898,37,0.37755102040816324,54,0.5510204081632653,63,0.6428571428571429,3.288718820861678
2000,1.5,2,20,120.0,98,29,86.0,113.10204081632654,13,0.1326530612244898,37,0.37755102040816324,54,0.5510204081632653,63,0.6428571428571429,3.288718820861678
1000,2.0,2,5,,98,29,86.0,112.28571428571429,18,0.1836734693877551,33,0.336734693877551,50,0.5102040816326531,63,0.6428571428571429,3.288718820861678
1000,2.0,2,20,240.0,98,29,82.0,110.75510204081633,17,0.17346938775510204,32,0.32653061224489793,53,0.5408163265306123,63,0.6428571428571429,3.2840702947845806
3000,1.5,10,10,240.0,98,29,90.0,111.87755102040816,16,0.16326530612244897,35,0.35714285714285715,50,0.5102040816326531,65,0.6632653061224489,3.283163265306123
2000,2.0,10,10,240.0,98,29,91.0,110.79591836734694,18,0.1836734693877551,34,0.3469387755102041,49,0.5,62,0.6326530612244898,3.281774376417234
2000,2.0,2,5,120.0,98,29,84.0,110.85714285714286,14,0.14285714285714285,34,0.3469387755102041,55,0.5612244897959183,65,0.6632653061224489,3.281292517006803
2000,2.0,2,10,120.0,98,29,84.0,110.85714285714286,14,0.14285714285714285,34,0.3469387755102041,55,0.5612244897959183,65,0.6632653061224489,3.281292517006803
1000,2.0,2,20,,98,29,85.0,112.48979591836735,18,0.1836734693877551,32,0.32653061224489793,51,0.5204081632653061,63,0.6428571428571429,3.279903628117914
2000,2.0,2,20,120.0,98,29,84.0,111.16326530612245,14,0.14285714285714285,34,0.3469387755102041,55,0.5612244897959183,64,0.6530612244897959,3.2710884353741494
3000,1.5,10,10,,98,29,90.0,113.42857142857143,16,0.16326530612244897,35,0.35714285714285715,50,0.5102040816326531,63,0.6428571428571429,3.2627551020408165
2000,2.0,10,5,240.0,98,29,91.0,110.38775510204081,18,0.1836734693877551,33,0.336734693877551,49,0.5,63,0.6428571428571429,3.261366213151927
2000,2.0,5,20,120.0,98,29,86.0,108.81632653061224,15,0.15306122448979592,32,0.32653061224489793,55,0.5612244897959183,65,0.6632653061224489,3.258106575963719
1000,2.0,2,10,,98,29,86.0,112.59183673469387,18,0.1836734693877551,32,0.32653061224489793,50,0.5102040816326531,63,0.6428571428571429,3.2581065759637187
3000,1.5,2,5,,98,29,87.0,116.06122448979592,16,0.16326530612244897,35,0.35714285714285715,50,0.5102040816326531,62,0.6326530612244898,3.2567176870748304
2000,2.0,5,10,240.0,98,29,87.0,109.53061224489795,17,0.17346938775510204,31,0.3163265306122449,53,0.5408163265306123,64,0.6530612244897959,3.25671768707483
2000,2.0,5,20,240.0,98,29,87.0,109.53061224489795,17,0.17346938775510204,31,0.3163265306122449,53,0.5408163265306123,64,0.6530612244897959,3.25671768707483
1000,2.0,2,10,240.0,98,29,82.0,110.75510204081633,16,0.16326530612244897,33,0.336734693877551,52,0.5306122448979592,63,0.6428571428571429,3.253458049886621
3000,1.5,10,20,240.0,98,29,90.0,112.22448979591837,16,0.16326530612244897,34,0.3469387755102041,50,0.5102040816326531,65,0.6632653061224489,3.2525510204081636
2000,1.5,10,5,240.0,98,29,93.0,112.81632653061224,19,0.19387755102040816,32,0.32653061224489793,49,0.5,61,0.6224489795918368,3.2483843537414963
3000,1.5,2,5,240.0,98,29,86.0,114.22448979591837,15,0.15306122448979592,34,0.3469387755102041,52,0.5306122448979592,64,0.6530612244897959,3.2479024943310657
3000,1.5,2,10,240.0,98,29,86.0,114.22448979591837,15,0.15306122448979592,34,0.3469387755102041,52,0.5306122448979592,64,0.6530612244897959,3.2479024943310657
3000,1.5,2,20,240.0,98,29,86.0,114.22448979591837,15,0.15306122448979592,34,0.3469387755102041,52,0.5306122448979592,64,0.6530612244897959,3.2479024943310657
