night,capture_count,positive,multi2,multi3,multi5,sin_month,cos_month,sin_doy,cos_doy,prior_mean_count,prior30_mean_count,prior14_mean_count,prior30_active_nights,prior14_active_nights,temp_mean,temp_min,humidity_mean,dewpoint_mean,precip_sum,pressure_mean,cloud_mean,weather_max
2026-08-13,2,1,1,0,0,-0.8660254037844384,-0.5000000000000004,-0.666088855860977,-0.7458723993404063,2.4,2.6875,2.4444444444444446,16,9,25.992307692307694,25.2,88.0,23.815384615384616,0.7,1001.4000000000001,50.46153846153846,51
2026-08-15,3,1,1,1,0,-0.8660254037844384,-0.5000000000000004,-0.6913512362094071,-0.722518835873311,2.4,2.6470588235294117,2.5,17,8,25.484615384615385,25.1,89.84615384615384,23.676923076923078,0.7999999999999999,1003.8384615384615,88.6923076923077,51
2026-08-17,2,1,1,0,0,-0.8660254037844384,-0.5000000000000004,-0.7157953492826642,-0.6983101158835584,2.4,2.625,2.4285714285714284,16,7,26.569230769230767,25.8,83.53846153846153,23.56153846153846,0.4,1007.1538461538463,47.30769230769231,51
2026-08-19,6,1,1,1,1,-0.8660254037844384,-0.5000000000000004,-0.7393922635959241,-0.673274892250183,2.5,2.588235294117647,2.4285714285714284,17,7,26.71538461538461,26.4,90.46153846153847,25.03846153846154,3.0,1008.0153846153846,68.0,51
2026-08-21,0,0,0,0,0,-0.8660254037844384,-0.5000000000000004,-0.7621140503891487,-0.6474427960827475,2.8,2.764705882352941,3.0,17,7,26.453846153846158,26.1,90.3076923076923,24.746153846153845,1.3000000000000003,1007.5076923076923,20.0,51
2026-08-23,3,1,1,1,0,-0.8660254037844384,-0.5000000000000004,-0.7839338166829201,-0.620844401650647,2.5,2.7058823529411766,2.625,17,8,26.923076923076927,26.1,83.0,23.77692307692308,0.2,1009.1692307692308,71.61538461538461,51
2026-08-24,3,1,1,1,0,-0.8660254037844384,-0.5000000000000004,-0.7944973291665992,-0.6072676460566135,2.6,2.6470588235294117,2.75,17,8,27.338461538461537,26.9,82.53846153846153,24.115384615384617,0.0,1005.2384615384615,54.23076923076923,3
2026-08-27,3,1,1,1,0,-0.8660254037844384,-0.5000000000000004,-0.8247650844733614,-0.5654755126737576,2.7,2.5625,2.7142857142857144,16,7,25.76923076923077,24.2,95.46153846153847,24.96153846153846,6.499999999999999,1003.953846153846,67.15384615384616,63
2026-08-28,4,1,1,1,0,-0.8660254037844384,-0.5000000000000004,-0.8343701235229537,-0.5512045872199277,2.8,2.588235294117647,2.857142857142857,17,7,26.692307692307693,26.4,92.38461538461539,25.338461538461537,1.0,1005.253846153846,36.46153846153846,51
2026-08-29,1,1,0,0,0,-0.8660254037844384,-0.5000000000000004,-0.8437282590292712,-0.5367705514607103,3.0,2.6666666666666665,3.0,18,8,26.733333333333334,26.5,92.5,25.400000000000002,0.5,1006.35,42.833333333333336,51
