radius_m,bandwidth_h,local_weight,min_local,tau_days,eligible,nights_scored,median_absolute_error_minutes,mean_absolute_error_minutes,within_30m_hits,within_30m_rate,within_30m_wilson95,within_60m_hits,within_60m_rate,within_60m_wilson95,within_90m_hits,within_90m_rate,within_90m_wilson95,selection_score
500,2.0,0.8,2,,98,29,96.5,111.63265306122449,17,0.17346938775510204,"[0.11122039941721075, 0.26035271019614964]",33,0.336734693877551,"[0.25089992900091485, 0.4348866258057654]",47,0.47959183673469385,"[0.38332963929572583, 0.5773936800551093]",1.606455498866213
500,1.5,0.8,2,90.0,98,29,97.0,111.18367346938776,19,0.19387755102040816,"[0.12777973480910126, 0.2830700554534241]",30,0.30612244897959184,"[0.22362525822357754, 0.4032462756093553]",47,0.47959183673469385,"[0.38332963929572583, 0.5773936800551093]",1.6061082766439907
1000,1.5,0.8,1,90.0,98,29,90.0,110.73469387755102,19,0.19387755102040816,"[0.12777973480910126, 0.2830700554534241]",28,0.2857142857142857,"[0.20568632301416542, 0.38190853016960236]",50,0.5102040816326531,"[0.41272874059974574, 0.6069095997248368]",1.6007653061224487
3000,1.0,0.8,1,180.0,98,29,90.5,116.95918367346938,16,0.16326530612244897,"[0.10306715625004181, 0.24886761303873606]",33,0.336734693877551,"[0.25089992900091485, 0.4348866258057654]",49,0.5,"[0.402890108516874, 0.597109891483126]",1.6004180839002267
3000,1.0,0.8,2,180.0,98,29,90.5,117.26530612244898,16,0.16326530612244897,"[0.10306715625004181, 0.24886761303873606]",33,0.336734693877551,"[0.25089992900091485, 0.4348866258057654]",49,0.5,"[0.402890108516874, 0.597109891483126]",1.6004180839002267
1000,2.0,0.95,3,,98,29,105.5,116.79591836734694,20,0.20408163265306123,"[0.1361759801787412, 0.29431215040836667]",30,0.30612244897959184,"[0.22362525822357754, 0.4032462756093553]",44,0.4489795918367347,"[0.3542819817359245, 0.5475263166411631]",1.6002054988662133
2000,2.0,0.8,3,180.0,98,29,98.5,113.14285714285714,17,0.17346938775510204,"[0.11122039941721075, 0.26035271019614964]",33,0.336734693877551,"[0.25089992900091485, 0.4348866258057654]",46,0.46938775510204084,"[0.37360789598305366, 0.567477083043199]",1.5948625283446711
500,2.0,0.8,1,90.0,98,29,88.5,109.04081632653062,15,0.15306122448979592,"[0.0950059903962593, 0.23729043856793613]",33,0.336734693877551,"[0.25089992900091485, 0.4348866258057654]",51,0.5204081632653061,"[0.42260631994489084, 0.6166703607042743]",1.5916028911564626
1500,2.0,0.99,2,180.0,98,29,89.0,115.48979591836735,17,0.17346938775510204,"[0.11122039941721075, 0.26035271019614964]",30,0.30612244897959184,"[0.22362525822357754, 0.4032462756093553]",51,0.5204081632653061,"[0.42260631994489084, 0.6166703607042743]",1.5912556689342403
3000,0.5,0.95,1,,98,29,90.5,123.28571428571429,17,0.17346938775510204,"[0.11122039941721075, 0.26035271019614964]",31,0.3163265306122449,"[0.23266923518824523, 0.41384063896927004]",49,0.5,"[0.402890108516874, 0.597109891483126]",1.5902140022675737
